trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
594,2.06,2,60,15,13.2,88.2,0
762,6.16,5,105,24,13.2,142.2,0
468,1.9,1,52.5,0,6,58.5,0
2600,6.73,1,180,0,6,186,0
660,2.48,1,67.5,0,6,73.5,0
621,3.7,1,67.5,0,9.75,77.25,0
1245,4.75,1,108.75,29,33.7,171.45,1
921,1.77,1,78.75,0,13.5,92.25,0
548,2.48,1,60,21,9.675,90.675,0
2709,10.9,1,225,22,2.75,249.75,0
2186,27.91,1,390,89,55.15,534.15,0
955,4.18,1,97.5,25,26.375,148.875,1
3164,16.88,1,318.75,0,55.125,373.875,0
450,2,1,52.5,13,13.7,79.2,0
324,1.4,1,45,8,5.65,58.65,0
468,1.21,6,48.75,11,5.95,65.7,0
2431,3.14,1,176.25,0,13.5,189.75,0
819,5.05,1,135,8,1.75,144.75,0
571,3.04,1,67.5,22,6.05,95.55,0
281,1.24,1,37.5,0,6,43.5,0
944,1.64,1,78.75,34,34.025,146.775,1
917,6.28,1,105,26,26.875,157.875,1
556,1.77,1,60,13,6.125,79.125,0
337,1.32,3,41.25,0,13.5,54.75,0
392,1.58,1,45,15,9.75,69.75,0
548,2.01,1,56.25,0,6,62.25,0
1681,15.77,1,225,25,26.375,276.375,1
1941,5.18,1,146.25,0,6.075,152.325,0
459,3.22,1,60,0,30.375,90.375,1
1855,8.55,1,168.75,29,26.95,224.7,1
4416,20.87,1,393.75,75,34.125,502.875,1
335,1.56,1,41.25,0,6,47.25,0
748,2.49,1,71.25,0,6,77.25,0
849,2.57,5,78.75,21,26.7,126.45,1
465,1.29,1,48.75,11,5.875,65.625,0
3392,11.46,2,285,0,9.75,294.75,0
536,1.48,1,52.5,16,14,82.5,0
938,2.88,1,86.25,18,6.45,110.7,0
598,2.8,1,67.5,0,13.5,81,0
558,2.49,1,60,13,6.2,79.2,0
994,2.93,1,86.25,0,6,92.25,0
1085,6.42,1,116.25,0,6,122.25,0
1275,3.89,1,105,26,26.95,157.95,1
477,2.51,1,60,11,13.75,84.75,0
268,0.97,1,37.5,0,9.75,47.25,0
735,3.43,1,75,0,9.75,84.75,0
543,2.66,1,63.75,18,26.7,108.45,1
3768,18.67,2,330,0,6,336,0
952,4.68,1,90,0,26.625,116.625,1
630,2.54,1,63.75,0,6,69.75,0
1321,7.26,1,135,0,13.5,148.5,0
837,2.53,1,78.75,17,5.95,101.7,0
261,1.27,5,37.5,9,5.7,52.2,0
200,1.37,1,33.75,0,13.5,47.25,0
879,3.8,1,86.25,0,13.5,99.75,0
1152,5.54,3,112.5,24,5.7,142.2,0
660,2.82,1,63.75,15,9.45,88.2,0
251,1.21,1,37.5,10,13.7,61.2,0
2194,16.74,3,251.25,38,5.5,294.75,0
319,1.71,1,45,15,6,66,0
796,3.54,1,78.75,0,9.75,88.5,0
370,2.67,1,56.25,0,9.75,66,0
518,3.62,1,67.5,19,26.45,112.95,1
434,2.7,1,56.25,12,6.45,74.7,0
840,3.94,1,86.25,18,6.45,110.7,0
560,1.46,1,56.25,16,5.6,77.85,0
516,4.44,2,78.75,0,6,84.75,0
3135,9.59,1,240,0,34.125,274.125,1
1296,5.58,1,123.75,0,6,129.75,0
638,3.59,1,71.25,20,10,101.25,0
243,1.51,1,41.25,12,5.85,59.1,0
646,3.15,1,75,0,30.375,105.375,1
150,0.56,1,26.25,0,6,32.25,0
624,3.06,6,67.5,25,34.55,127.05,1
654,2.25,1,60,13,6.2,79.2,0
603,2.41,1,63.75,18,26.7,108.45,1
3645,15.51,2,322.5,0,6,328.5,0
701,2.08,1,67.5,11,6.25,84.75,0
366,1.24,1,41.25,11,13.45,65.7,0
166,0.8,1,30,9,5.625,44.625,0
959,6.84,1,116.25,0,6,122.25,0
718,5.75,5,93.75,25,5.9,124.65,0
648,2.95,6,71.25,19,6.35,96.6,0
2351,8.77,1,198.75,0,26.625,225.375,1
978,2.85,1,86.25,0,6,92.25,0
1156,2.9,1,101.25,0,6,107.25,0
375,2.04,1,48.75,8,6.325,63.075,0
365,1.29,2,45,20,10,75,0
1161,5.7,1,112.5,24,10.2,146.7,0
1602,9.37,1,161.25,0,9.75,171,0
7263,27.57,1,551.25,0,6,557.25,0
1048,4.39,1,97.5,0,6,103.5,0
1094,3.81,3,97.5,25,26.45,148.95,1
1271,6.36,1,123.75,0,26.625,150.375,1
311,2.22,5,45,8,5.65,58.65,0
299,0.79,1,37.5,9,5.7,52.2,0
461,2.09,1,52.5,20,26.125,98.625,1
523,1.71,1,56.25,12,6.45,74.7,0
768,2.45,1,71.25,0,26.625,97.875,1
1557,3.17,5,127.5,0,9.75,137.25,0
864,6.6,1,105,27,30.45,162.45,1
960,7.56,1,123.75,0,26.625,150.375,1
1558,10.91,1,187.5,0,55.125,242.625,0
1061,3.7,1,93.75,15,26.625,135.375,1
492,7.72,1,108.75,8,26.125,142.875,1
264,1.72,5,41.25,0,6,47.25,0
440,2.06,1,52.5,12,5.7,70.2,0
1178,5.39,1,112.5,24,5.7,142.2,0
1559,9.17,1,157.5,38,29.95,225.45,1
1620,10.69,1,172.5,41,29.95,243.45,1
812,3.07,3,78.75,23,33.7,135.45,1
426,2.59,1,52.5,0,6,58.5,0
508,1.01,1,45,15,6.3,66.3,0
723,2.33,1,67.5,15,10.2,92.7,0
544,2.03,1,56.25,14,13.45,83.7,0
484,1.83,1,52.5,0,13.5,66,0
499,1.9,1,56.25,0,6,62.25,0
258,0.85,1,37.5,0,9.75,47.25,0
763,2.49,2,71.25,0,6,77.25,0
977,3.86,1,93.75,19,26.375,139.125,1
691,1.74,1,60,0,6,66,0
902,3.33,1,86.25,20,13.45,119.7,0
5,0.02,1,18.75,0,6,24.75,0
85092,1.9,1,63.75,0,26.625,90.375,1
859,4.06,1,86.25,0,6,92.25,0
467,1.51,1,52.5,0,6.075,58.575,0
1191,5.95,2,116.25,0,13.5,129.75,0
166,1.01,1,33.75,0,9.75,43.5,0
11,0.02,1,18.75,22,14,54.75,0
562,2.25,1,60,0,6,66,0
1980,16.58,1,258.75,0,6,264.75,0
364,1.58,1,45,0,6,51,0
252,0.98,5,33.75,0,13.5,47.25,0
926,4.41,1,86.25,0,9.75,96,0
236,1.03,1,33.75,0,9.75,43.5,0
293,1.48,1,41.25,8,9.25,58.5,0
723,6.98,1,105,0,6,111,0
1072,6.29,1,112.5,28,26.45,166.95,1
747,5.65,2,101.25,26,30.7,157.95,1
458,2.12,1,48.75,11,5.95,65.7,0
1090,7.4,1,127.5,0,6,133.5,0
663,6.04,1,283.125,38,22.375,343.5,1
45,0.16,1,18.75,0,6,24.75,0
1057,6.6,1,120,0,9.75,129.75,0
568,9.35,5,131.25,35,10,176.25,0
1676,12.89,1,195,45,30.45,270.45,1
924,4.28,1,93.75,0,13.5,107.25,0
316,1.26,3,41.25,0,13.5,54.75,0
678,3.33,1,71.25,15,6.45,92.7,0
1996,10.14,1,187.5,52,27.125,266.625,1
578,3.86,1,71.25,26,34.45,131.7,1
495,1.9,1,52.5,13,13.7,79.2,0
548,6.36,2,97.5,0,6,103.5,0
1175,10.77,1,165,60,33.825,258.825,1
2170,11.75,6,191.25,0,26.625,217.875,1
768,3.85,1,127.5,26,2.2,155.7,0
1114,3.88,1,97.5,0,6,103.5,0
1180,3.54,2,97.5,0,13.5,111,0
547,2.48,1,60,8,5.5,73.5,0
1595,7.4,1,150,54,30.375,234.375,1
373,1.29,1,45,12,13.125,70.125,0
1607,6.47,1,146.25,0,9.75,156,0
839,4.59,1,90,25,9.65,124.65,0
2138,16.74,1,255,0,6,261,0
216,0.55,2,33.75,0,13.5,47.25,0
333,1.29,2,41.25,0,6,47.25,0
398,1.27,1,45,8,13,66,0
405,4.78,1,75,0,13.5,88.5,0
316,1.72,1,45,0,6,51,0
775,3.65,1,78.75,0,6,84.75,0
711,4.44,2,300,60,2.7,362.7,0
755,8.88,1,127.5,1,5.6,134.1,0
1691,11.67,1,191.25,22,55.625,268.875,0
466,1.64,2,48.75,16,27.725,92.475,0
825,3.6,1,82.5,22,6.125,110.625,0
5,1.4,1,115.5,24,1.8,141.3,0
1065,5.75,1,105,0,26.625,131.625,1
279,1.5,2,37.5,0,9.75,47.25,0
415,2.11,1,48.75,0,13.5,62.25,0
2245,16.87,2,262.5,0,6,268.5,0
2527,27.36,1,371.25,85,55.4,511.65,0
964,5.29,1,105,0,34.125,139.125,1
337,1.93,1,48.75,75,26.625,150.375,1
958,4.09,1,78.75,0,6,84.75,0
699,1.77,1,67.5,15,5.7,88.2,0
1316,7.89,1,142.5,0,26.625,169.125,1
579,2.37,1,60,13,6.2,79.2,0
768,3.59,1,78.75,22,9.875,110.625,0
1114,2.69,1,93.75,20,5.95,119.7,0
1670,6.12,2,138.75,0,26.625,165.375,1
2087,8.87,5,180,43,33.95,256.95,1
1293,5.18,1,116.25,0,13.5,129.75,0
508,4.06,1,71.25,16,9.95,97.2,0
154,0.55,1,26.25,0,13.5,39.75,0
1802,8.67,1,153.75,0,26.625,180.375,1
899,4.83,1,93.75,0,9.75,103.5,0
650,2.66,1,67.5,18,6.375,91.875,0
1880,10.75,2,375,30,22.875,427.875,1
2516,6.42,1,191.25,0,34.125,225.375,1
157,0.77,1,30,10,9.65,49.65,0
896,5.89,1,108.75,24,13.95,146.7,0
1286,6.44,1,123.75,26,5.95,155.7,0
1123,9.14,1,150,61,55.625,266.625,0
862,3.41,1,86.25,15,6,107.25,0
395,1.87,2,48.75,11,5.95,65.7,0
661,3.2,1,75,0,6,81,0
392,2.25,1,52.5,0,6,58.5,0
259,1.13,1,37.5,15,9.75,62.25,0
609,2.49,1,60,13,6.2,79.2,0
651,2.33,2,105,0,2.25,107.25,0
798,1.85,1,71.25,0,13.575,84.825,0
4468,37.98,1,566.25,207,124.875,898.125,1
624,3.25,2,71.25,0,6,77.25,0
255,1.71,1,41.25,8,13.75,63,0
709,3.96,1,78.75,0,13.5,92.25,0
459,0.87,2,48.75,0,6,54.75,0
894,6.24,1,108.75,15,9.75,133.5,0
1822,13.97,1,210,0,62.625,272.625,0
1287,6.6,1,127.5,0,6,133.5,0
775,3.22,1,75,0,9.75,84.75,0
1155,6.89,1,127.5,27,10.2,164.7,0
287,1.61,1,41.25,0,26.625,67.875,1
327,1.96,1,45,12,13.2,70.2,0
748,3.89,2,78.75,18,9.45,106.2,0
890,1.45,2,75,0,6,81,0
266,1.3,1,37.5,0,9.75,47.25,0
830,2.82,1,78.75,32,26.275,137.025,1
1200,4.97,1,112.5,8,26.125,146.625,1
1070,7.89,1,135,32,26.95,193.95,1
84973,6.15,2,112.5,24,5.7,142.2,0
1528,10.67,1,172.5,0,6,178.5,0
1738,7.56,1,150,31,6.125,187.125,0
1691,9.12,1,165,34,6.2,205.2,0
1005,4.55,1,97.5,0,6,103.5,0
529,2.7,1,60,0,13.5,73.5,0
472,1.27,1,48.75,16,6.425,71.175,0
701,3.38,1,75,0,26.625,101.625,1
679,3.27,1,71.25,16,9.95,97.2,0
1027,2.75,6,90,0,26.625,116.625,1
616,2.82,1,67.5,0,30.375,97.875,1
1360,6.66,2,135,0,6,141,0
756,3.01,1,75,0,6,81,0
416,2.57,1,56.25,0,6,62.25,0
565,2.72,2,67.5,0,6,73.5,0
495,2.24,1,56.25,21,26.325,103.575,1
782,2.03,1,71.25,0,6,77.25,0
696,10.86,1,146.25,50,55.45,251.7,0
644,2.8,1,63.75,14,5.95,83.7,0
524,3.38,1,67.5,15,5.625,88.125,0
1160,11.43,1,172.5,41,34.375,247.875,1
1119,3.73,1,97.5,19,26.225,142.725,1
353,1.48,1,45,0,6,51,0
820,2.82,1,75,15,26.85,116.85,1
296,1.42,1,37.5,10,13.7,61.2,0
404,1.37,1,48.75,11,5.95,65.7,0
593,2.77,1,63.75,8,33.625,105.375,1
620,2.41,1,67.5,4,5.675,77.175,0
1383,3.36,1,108.75,0,6,114.75,0
584,1.93,0,60,0,34.125,94.125,1
748,4.55,1,86.25,0,6,92.25,0
306,1.29,1,37.5,0,13.5,51,0
619,2.7,1,67.5,8,5.5,81,0
453,1.83,1,52.5,8,26.575,87.075,1
318,1.37,3,41.25,14,13.15,68.4,0
721,2,1,63.75,8,5.5,77.25,0
1136,3.99,6,101.25,19,26.825,147.075,1
603,2.51,1,63.75,0,34.125,97.875,1
420,2.35,1,56.25,15,9.75,81,0
315,1.29,1,41.25,10,9.875,61.125,0
182,1.08,1,33.75,0,6,39.75,0
677,1.88,1,60,11,6.25,77.25,0
730,2.3,1,60,0,6,66,0
762,2.57,1,71.25,17,13.45,101.7,0
762,2.35,2,67.5,24,13.8,105.3,0
392,1.59,1,45,0,13.5,58.5,0
524,1.67,1,56.25,16,5.6,77.85,0
4344,2.91,1,60,8,5.5,73.5,0
601,1.92,1,60,17,26.95,103.95,1
2980,14.03,1,262.5,59,29.95,351.45,1
430,1.3,1,48.75,16,6.425,71.175,0
692,2.41,1,67.5,37,5.75,110.25,0
1041,4.02,1,97.5,25,26.375,148.875,1
439,1.46,1,48.75,0,13.5,62.25,0
800,2.74,1,75,0,6,81,0
232,1.45,1,37.5,0,9.75,47.25,0
2700,30.22,2,510,45,51.375,606.375,0
387,2.19,1,48.75,0,6,54.75,0
1213,4.65,1,112.5,0,6,118.5,0
200,1.93,1,41.25,0,13.5,54.75,0
1288,5.79,1,120,0,6,126,0
243,1.66,1,41.25,8,9.25,58.5,0
274,2.04,1,45,14,9.4,68.4,0
934,4.22,1,90,26,26.5,142.5,1
427,2.67,1,56.25,0,9.75,66,0
1065,4.18,1,101.25,15,6,122.25,0
406,2.48,1,52.5,12,5.7,70.2,0
1337,11.52,1,180,41,26.95,247.95,1
1895,5.86,1,153.75,0,6,159.75,0
341,1.66,1,45,0,9.75,54.75,0
563,2.86,1,67.5,0,26.625,94.125,1
549,1.85,1,56.25,16,5.6,77.85,0
516,6.24,1,97.5,11,6.25,114.75,0
528,1.96,1,56.25,15,34.125,105.375,1
419,1.92,1,48.75,16,6.425,71.175,0
1548,4.02,0,123.75,0,26.625,150.375,1
334,2.29,1,48.75,12,13.95,74.7,0
552,2.45,1,56.25,13,5.75,75,0
739,7.03,1,108.75,24,9.45,142.2,0
1893,7.03,2,157.5,0,13.5,171,0
563,2.74,1,67.5,19,30.125,116.625,1
989,2.59,1,86.25,20,13.45,119.7,0
538,3.01,1,63.75,14,5.95,83.7,0
295,1.06,1,37.5,13,6.05,56.55,0
532,2.01,1,56.25,0,13.5,69.75,0
1882,13.57,2,221.25,55,55.4,331.65,0
1017,4.25,1,97.5,22,13.7,133.2,0
583,4.38,1,78.75,0,9.75,88.5,0
327,1.61,2,45,10,6.125,61.125,0
1852,16.09,1,236.25,52,27.125,315.375,1
595,2.2,1,60,0,13.5,73.5,0
1146,6.58,1,120,44,26.575,190.575,1
2200,13.58,1,225,0,6,231,0
451,2.16,1,52.5,13,13.7,79.2,0
761,2.66,1,71.25,19,6.35,96.6,0
1087,8.27,1,131.25,28,9.95,169.2,0
150,1.03,1,30,9,6,45,0
1787,17.51,1,236.25,188,13,437.25,0
716,2.74,1,71.25,0,6,77.25,0
884,3.36,3,78.75,0,26.625,105.375,1
4863,4.73,2,326.25,0,9.75,336,0
314,2.19,1,48.75,0,9.75,58.5,0
917,3.27,1,86.25,0,26.625,112.875,1
869,3.86,1,90,22,27.125,139.125,1
749,4.44,1,82.5,0,26.625,109.125,1
524,1.92,1,56.25,12,6.45,74.7,0
490,1.87,1,56.25,14,13.45,83.7,0
1121,6.73,1,116.25,0,9.75,126,0
471,2.9,0,60,21,9.375,90.375,0
1658,11.07,1,187.5,48,6.375,241.875,0
671,4.04,1,75,17,9.7,101.7,0
777,3.32,1,78.75,23,33.7,135.45,1
755,3.43,1,78.75,0,13.5,92.25,0
718,2.78,1,75,18,13.2,106.2,0
838,7.23,1,108.75,0,30.375,139.125,1
1489,4.02,1,120,0,6,126,0
440,2.41,1,56.25,0,6,62.25,0
390,1.98,1,48.75,11,5.95,65.7,0
536,2.72,1,63.75,19,30.2,112.95,1
265,0.98,2,37.5,9,5.7,52.2,0
254,1.05,1,37.5,9,5.7,52.2,0
468,2.12,1,52.5,0,6,58.5,0
379,1.48,1,45,8,26.125,79.125,1
641,4.54,1,86.25,0,30.375,116.625,1
441,7,2,187.5,38,2.2,227.7,0
85740,0.79,1,52.5,0,2.25,54.75,0
461,2.91,1,63.75,21,5.925,90.675,0
272,1,1,37.5,9,5.7,52.2,0
1656,11.39,1,168.75,30,26.25,225,1
290,0.9,1,37.5,13,6.05,56.55,0
1563,18.36,1,255,0,55.125,310.125,0
1277,12.81,1,187.5,49,54.65,291.15,0
385,2.14,1,48.75,0,13.5,62.25,0
208,1.61,1,37.5,13,5.75,56.25,0
2661,12.96,1,251.25,0,13.5,264.75,0
508,2.54,1,60,0,6,66,0
791,4.99,1,90,23,26.875,139.875,1
1457,11.59,4,180,22,27.125,229.125,1
3175,12.96,1,273.75,0,9.75,283.5,0
592,3.46,1,67.5,24,6.375,97.875,0
263,1.96,1,41.25,0,9.75,51,0
56,0.95,1,112.5,0,2.25,114.75,0
699,11.57,1,153.75,15,6,174.75,0
1853,26.34,1,480,0,2.25,482.25,0
149,1.06,1,30,8,9.25,47.25,0
333,1.32,1,41.25,0,6,47.25,0
1825,18.78,1,262.5,65,62.65,390.15,0
369,1.56,1,45,13,5.75,63.75,0
565,1.93,1,56.25,12,6.375,74.625,0
359,2.32,5,48.75,11,5.95,65.7,0
1755,6.55,1,142.5,34,26.45,202.95,1
202,0.89,1,33.75,0,6,39.75,0
553,6.26,1,93.75,0,9.75,103.5,0
2058,30.42,1,390,89,55.15,534.15,0
922,3.22,1,82.5,19,13.7,115.2,0
384,1.37,1,48.75,0,13.5,62.25,0
1171,6.13,1,116.25,29,30.7,175.95,1
1413,8.79,1,153.75,0,9.75,163.5,0
455,2.22,1,56.25,12,6.45,74.7,0
246,1.08,1,33.75,8,5.95,47.7,0
320,1.61,1,41.25,0,9.75,51,0
1308,4.65,1,116.25,31,5.6,152.85,0
1756,7.71,5,165,35,30.55,230.55,1
823,3.14,1,78.75,18,13.95,110.7,0
502,3.22,1,63.75,15,9.75,88.5,0
1557,12.42,1,191.25,59,105.7,355.95,0
1269,5.44,1,120,25,6.2,151.2,0
1102,4.83,1,101.25,26,26.2,153.45,1
1691,6.28,2,153.75,0,9.75,163.5,0
546,1.67,1,56.25,19,5.675,80.925,0
338,0.9,1,41.25,0,6,47.25,0
755,3.03,1,75,15,26.85,116.85,1
234,1.22,1,37.5,8,13,58.5,0
1126,6.21,1,116.25,0,9.75,126,0
520,2.86,1,60,13,6.2,79.2,0
985,4.51,1,93.75,30,26.7,150.45,1
497,2.64,1,60,0,6,66,0
1978,7.61,1,172.5,0,6,178.5,0
889,5.49,1,101.25,0,9.75,111,0
759,5.89,1,101.25,27,5.85,134.1,0
889,5.47,1,105,0,6,111,0
218,1.64,1,37.5,5,10,52.5,0
3053,12.41,1,247.5,56,34.45,337.95,1
1067,3.69,1,93.75,24,26.7,144.45,1
630,3.7,1,75,0,6,81,0
126,1.05,1,30,0,9.75,39.75,0
659,3.64,1,71.25,24,27.075,122.325,1
150,0.89,5,30,0,9.75,39.75,0
638,2.99,1,71.25,0,6,77.25,0
496,2.8,1,60,13,6.2,79.2,0
1044,4.8,2,101.25,0,6,107.25,0
1068,3.06,1,97.5,0,6,103.5,0
1231,6.89,1,123.75,0,6,129.75,0
1225,5.84,1,123.75,26,5.95,155.7,0
516,1.93,1,52.5,0,13.5,66,0
21,0.16,1,18.75,0,6,24.75,0
640,6.12,1,105,30,43.125,178.125,0
352,1.13,1,41.25,75,6,122.25,0
601,2.69,2,67.5,0,9.75,77.25,0
1154,4.99,2,112.5,28,26.375,166.875,1
606,2.49,2,63.75,14,5.95,83.7,0
576,2.45,1,63.75,0,13.5,77.25,0
2837,19.75,2,318.75,81,6.15,405.9,0
887,3.64,1,86.25,0,6,92.25,0
964,4.25,1,93.75,21,13.95,128.7,0
541,1.61,1,56.25,0,6,62.25,0
1771,9.37,5,180,41,26.95,247.95,1
1099,9.21,1,142.5,0,6,148.5,0
324,1.4,1,41.25,0,6,47.25,0
1272,3.96,1,108.75,0,6,114.75,0
464,1.66,1,48.75,0,13.5,62.25,0
1099,5.05,2,105,26,26.95,157.95,1
402,2.41,1,52.5,20,13.3,85.8,0
2185,29.13,1,386.25,0,9.75,396,0
1159,11.65,1,176.25,15,6,197.25,0
332,2.2,1,48.75,8,6.25,63,0
1392,19.51,1,258.75,64,58.4,381.15,0
1263,10.8,1,172.5,8,26.125,206.625,1
309,0.45,1,37.5,0,6,43.5,0
1180,2.83,1,97.5,31,26.675,155.175,1
454,2.49,1,56.25,0,9.75,66,0
1082,5.39,1,105,26,26.95,157.95,1
528,6.2,1,93.75,25,5.9,124.65,0
1191,4.2,1,108.75,24,27,159.75,1
1710,7.48,1,153.75,15,33.75,202.5,1
2180,15.14,1,251.25,0,34.125,285.375,1
471,1.93,1,52.5,13,34.1,99.6,1
871,5.07,2,97.5,0,26.625,124.125,1
770,9.99,5,142.5,0,6,148.5,0
2195,5.21,1,172.5,0,13.5,186,0
930,9.7,1,142.5,0,9.75,152.25,0
1708,14.52,1,213.75,0,6,219.75,0
1270,5.15,1,120,29,26.875,175.875,1
433,1.82,2,48.75,12,9.45,70.2,0
415,1.82,1,48.75,0,9.75,58.5,0
1951,8.82,2,300,0,22.875,322.875,1
480,2.72,5,56.25,0,6,62.25,0
728,11.18,2,157.5,0,9.75,167.25,0
1587,11.59,1,183.75,0,26.625,210.375,1
432,1.61,1,48.75,0,6,54.75,0
2030,7.92,1,161.25,0,13.5,174.75,0
532,1.79,1,56.25,16,5.6,77.85,0
291,1.13,1,37.5,15,9.75,62.25,0
709,3.22,1,75,0,26.625,101.625,1
449,1.74,5,48.75,0,13.5,62.25,0
943,4.3,1,93.75,0,13.5,107.25,0
293,1.16,1,37.5,0,6,43.5,0
316,1.82,1,45,18,13.05,76.05,0
62,0.16,1,22.5,0,6,28.5,0
559,3.17,1,67.5,0,6,73.5,0
